Wavelength
7431.957106
7517.46094
7706.281908
7843.44431
7928.948144
8005.54533
8123.113102
8377.843276
8475.81642
8552.413605
8889.084954
9256.038911
9337.980085
9475.142487
9615.867548
9867.035062
