Wavelength
4408
4519
4615.5
4689.2
4761.837821
4874.935341
4973.28101
5135.551365
5342.077272
5496.971702
5661.700698
5774.798219
6037.872885
6234.564224
6379.624087
6701.706156
6797.593183
6954.946255
7080.336984
7166.389445
7225.396847
7535.185706
7704.831987
7913.816535
